name,pubchemid,isosmiles
Methotrexate,126941,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
Busulfan,2478,CS(=O)(=O)OCCCCOS(=O)(=O)C
Thioguanine,2723601,C1=NC2=C(N1)C(=S)N=C(N2)N
Mercaptopurine,667490,C1=NC2=C(N1)C(=S)N=CN2
Mechlorethamine hydrochloride,5935,CN(CCCl)CCCl.Cl
Allopurinol,135401907,C1=NNC2=C1C(=O)NC=N2
Dactinomycin,457193,C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C
Chlorambucil,2708,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
Thiotepa,5453,C1CN1P(=S)(N2CC2)N3CC3
Melphalan,460612,C1=CC(=CC=C1C[C@@H](C(=O)O)N)N(CCCl)CCCl
Triethylenemelamine,5799,C1CN1C2=NC(=NC(=N2)N3CC3)N4CC4
Altretamine,2123,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
Quinacrine hydrochloride,6239,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.Cl.Cl
Aminolevulinic acid hydrochloride,123608,C(CC(=O)O)C(=O)CN.Cl
Fluorouracil,3385,C1=C(C(=O)NC(=O)N1)F
