drug_a,drug_b,cell_line,synergy
2478,77082,U251,-706
2478,119182,U251,-662
2478,657237,U251,-660
2478,454216,U251,-642
2478,5284616,U251,-606
2478,72466,U251,-588
9941095,644241,SK-MEL-28,-543
5329102,644241,RXF393,-543
2578,657237,HCT-15,-539
9887053,454216,UACC-257,-528
4114,36314,RPMI-8226,-511
3011155,3902,786-0,-508
5329102,644241,SK-MEL-28,-506
2907,5284616,HL-60,-499
104741,60953,HCC2998,-497
5284616,2187,CCRF-CEM,-481
60953,3011155,786-0,-477
5311,3902,HL-60,-457
36314,3011155,NCI-H322M,-456
9941095,123596,SK-MEL-28,-454
387447,20279,OVCAR-3,-439
5329102,123596,RXF393,-438
5329102,3011155,SK-MEL-28,-433
148124,5394,NCI-H322M,-432
5329102,5394,RXF393,-432
148124,426756,NCI-H322M,-430
5311,36314,RPMI-8226,-425
2907,72466,HL-60,-422
60953,3902,786-0,-418
9887053,454216,M14,-417
9444,2187,CCRF-CEM,-409
9444,644241,NCI-H322M,-409
2907,249332,HL-60,-407
104842,3902,HL-60,-405
119182,3902,786-0,-404
2578,454216,UACC-257,-403
148124,2187,OVCAR-5,-401
9444,644241,CCRF-CEM,-400
4114,148124,RXF393,-396
9887053,454216,SF539,-395
9941095,3902,SK-MEL-28,-394
36314,644241,NCI-H322M,-391
5329102,3902,SK-MEL-28,-389
5329102,123596,SK-MEL-28,-389
644241,5790,NCI-H322M,-388
77082,457193,RPMI-8226,-386
3950,4212,HL-60,-386
2907,657237,HL-60,-383
5311,644241,SF268,-383
644241,3902,NCI-H322M,-379
2907,36314,SR,-378
2187,5311,LOXIMVI,-378
9444,60953,CCRF-CEM,-377
5311,123596,SF268,-377
4842,72466,HL-60,-376
9887053,454216,A498,-374
9887053,454216,HCC2998,-374
5311,457193,HL-60,-373
6442177,644241,SK-MEL-28,-372
4114,36314,HL-60,-369
387447,148124,MOLT-4,-369
4842,4211,HL-60,-368
2907,667490,HL-60,-368
5352062,644241,NCI-H322M,-368
4842,457193,HL-60,-367
387447,9444,OVCAR-3,-366
36314,426756,NCI-H322M,-365
9887053,454216,LOXIMVI,-363
644241,126941,786-0,-363
644241,20279,NCI-H322M,-362
5329102,3011155,RXF393,-362
2662,126941,T47D,-361
5329102,5394,SK-MEL-28,-361
2187,60953,CCRF-CEM,-359
9444,36314,MOLT-4,-358
104842,644241,NCI-H322M,-358
6442177,5394,SK-MEL-28,-358
5284616,3902,CCRF-CEM,-357
406563,9941095,CCRF-CEM,-357
6442177,123596,SK-MEL-28,-356
387447,126941,OVCAR-3,-355
5329102,9941095,SK-MEL-28,-355
5329102,3902,RXF393,-354
406563,5329102,CCRF-CEM,-353
2907,454216,SK-MEL-28,-352
5311,3011155,HL-60,-352
148124,3902,OVCAR-5,-347
5284616,3657,786-0,-345
148124,3011155,OVCAR-5,-345
644241,2662,HL-60,-345
6442177,3902,SK-MEL-28,-343
5329102,644241,MDA-MB-231,-342
9444,457193,CCRF-CEM,-341
9444,5394,NCI-H322M,-341
9887053,454216,NCI-H226,-341
57469,454216,NCI-H226,-341
5311,644241,SK-MEL-28,-341
2708,3385,HT-29,-338
387447,126941,T47D,-338
20279,126941,786-0,-337
148124,644241,NCI-H322M,-333
3011155,123596,HL-60,-333
9444,123596,NCI-H322M,-332
148124,20279,NCI-H322M,-331
387447,126941,MOLT-4,-331
241902,3902,SR,-329
5329102,9941095,RXF393,-329
5311,2662,HL-60,-328
6442177,3011155,SK-MEL-28,-328
2907,4211,HL-60,-327
36314,3902,NCI-H322M,-326
2907,5790,HL-60,-326
148124,3902,NCI-H322M,-326
4114,657237,RPMI-8226,-324
451668,36314,SF539,-323
148124,3011155,NCI-H322M,-323
57469,454216,HCC2998,-322
9941095,3011155,K-562,-322
5799,36314,RPMI-8226,-322
68740,60953,CCRF-CEM,-320
36314,20279,NCI-H322M,-319
9444,104741,CCRF-CEM,-318
3011155,123596,NCI-H322M,-315
6442177,123596,RXF393,-310
439693,454216,M14,-309
148121,6252,NCI-H522,-309
36314,119182,RPMI-8226,-308
5394,126941,T47D,-308
3690,454216,LOXIMVI,-307
60749,123596,NCI-H322M,-307
6442177,5394,RXF393,-306
148124,5394,OVCAR-5,-305
406563,60953,K-562,-305
9444,426756,NCI-H322M,-304
9444,3011155,NCI-H322M,-304
439693,454216,CCRF-CEM,-304
2708,11683,NCI-H322M,-303
451668,36314,MOLT-4,-302
119182,123596,NCI-H322M,-302
406563,5311,CCRF-CEM,-302
2478,126941,CAKI-1,-302
9444,3011155,OVCAR-5,-301
9444,2187,OVCAR-5,-301
451668,454216,UACC-257,-301
439693,454216,A549,-301
60953,2187,CCRF-CEM,-301
6442177,123596,NCI-H322M,-301
9941095,5394,SK-MEL-28,-300
406563,3011155,K-562,-300
2141,126941,SF539,-298
5311,2187,SF268,-298
2187,2733525,HL-60,-298
4842,249332,HL-60,-297
2907,457193,SR,-297
2907,126941,CAKI-1,-296
119182,644241,CCRF-CEM,-296
6442177,644241,RXF393,-295
5329102,426756,RXF393,-295
5352062,123596,NCI-H322M,-295
5311,2187,MDA-MB-231,-293
3950,4212,MOLT-4,-293
9444,36314,CCRF-CEM,-292
9887053,454216,HCT-15,-292
4114,60749,OVCAR-3,-292
5329102,5284616,RXF393,-292
29327,36314,MOLT-4,-292
4114,148124,LOXIMVI,-291
60699,457193,U251,-291
60749,644241,CCRF-CEM,-291
135401907,454216,MOLT-4,-290
4114,36314,HCC2998,-290
241902,119182,SR,-290
9941095,644241,RXF393,-290
2578,454216,RPMI-8226,-289
5329102,5453,RXF393,-289
135413520,60198,HT-29,-288
9444,2187,NCI-H322M,-287
5284616,3011155,786-0,-287
2708,60198,HT-29,-287
148124,657237,NCI-H322M,-287
5311,3011155,UACC-62,-287
148121,20279,Hs-578-T,-287
123608,148124,RPMI-8226,-285
2141,2733525,SK-MEL-5,-285
4114,457193,NCI-H226,-285
60953,454216,NCI-H226,-285
123596,6252,K-562,-285
2907,3657,HL-60,-284
644241,444795,NCI-H322M,-284
57469,454216,LOXIMVI,-283
104842,5394,NCI-H322M,-283
387447,148124,OVCAR-3,-283
2907,5799,CAKI-1,-282
4114,148124,BT-549,-282
3950,4212,HOP-62,-282
5329102,123596,HL-60,-281
5329102,123596,NCI-H322M,-281
148121,20279,SK-OV-3,-281
451668,454216,LOXIMVI,-280
4114,148124,RPMI-8226,-279
2478,3657,CAKI-1,-279
5352062,3902,OVCAR-5,-279
9444,2733525,CCRF-CEM,-275
104741,9941095,CCRF-CEM,-274
6442177,3902,RXF393,-274
9444,3902,NCI-H322M,-273
9887053,454216,KM12,-273
148124,2187,NCI-H322M,-273
5311,5394,SK-MEL-28,-273
5311,3902,SF268,-273
29327,454216,LOXIMVI,-273
2907,454216,UACC-257,-272
135398738,62770,CCRF-CEM,-272
644241,2187,CCRF-CEM,-272
644241,77082,786-0,-271
9444,60953,K-562,-270
60749,3902,CCRF-CEM,-270
123608,5799,HOP-62,-269
2907,454216,BT-549,-269
9444,36314,SF539,-268
451668,36314,M14,-268
5352062,426756,NCI-H322M,-268
135401907,444795,CAKI-1,-267
2478,9444,CAKI-1,-267
148121,36314,SNB75,-267
36314,5790,NCI-H322M,-266
9887053,454216,SF268,-266
148124,3902,HL-60,-266
5311,3011155,SK-MEL-28,-266
5311,644241,NCI-H322M,-266
60953,20279,NCI-H322M,-266
60953,123596,HL-60,-266
9444,3902,OVCAR-5,-265
9444,123596,CCRF-CEM,-265
451668,126941,SF539,-265
4842,5284616,HL-60,-265
2907,454216,NCI-H226,-265
57469,163659,U251,-265
9444,457193,K-562,-264
77082,5329102,CCRF-CEM,-264
36314,3011155,SK-MEL-5,-263
2907,5935,HL-60,-263
60953,5394,SF295,-263
4842,5790,HL-60,-262
9887053,454216,A549,-262
148124,457193,NCI-H322M,-262
5311,123596,SK-MEL-28,-262
60953,657237,786-0,-262
4842,667490,HL-60,-261
148124,2187,SK-MEL-28,-261
104842,3011155,HL-60,-261
60953,123596,NCI-H322M,-261
148121,60953,SNB75,-261
135401907,657237,CAKI-1,-260
2578,72466,HCT-15,-260
5426,60749,RXF393,-260
5311,3902,SK-MEL-28,-260
2187,5329102,CCRF-CEM,-260
443939,9941095,RPMI-8226,-259
9887053,454216,UACC-62,-259
249332,3902,NCI-H226,-259
3011155,644241,HL-60,-259
60953,2187,MDA-MB-231,-259
36314,6252,NCI-H322M,-258
9887053,454216,SK-MEL-5,-258
5311,426756,NCI-H322M,-258
5311,5394,NCI-H322M,-258
6442177,3011155,RXF393,-258
2123,11683,HL-60,-257
644241,657237,786-0,-257
36314,3011155,UACC-62,-256
148124,2187,CCRF-CEM,-256
249332,3902,A549,-256
3690,241902,MOLT-4,-255
5746,454216,OVCAR-8,-255
148124,241902,NCI-H322M,-255
387447,148124,T47D,-255
104842,5394,T47D,-254
5311,5394,SF268,-254
104741,3062316,CCRF-CEM,-254
5352062,5394,NCI-H322M,-254
