drug_a,drug_b,cell_line,synergy
3385,45480520,A2058,7.693530166
3385,45480520,A2780,7.77805306
3385,45480520,A375,-1.198505438
3385,45480520,A427,2.595684438
3385,45480520,COLO-320-HSR,4.175936435
3385,45480520,EFM-192A,-5.089852856
3385,45480520,ES-2,1.498650452
3385,45480520,HCT-116,9.463280869
3385,45480520,HT-144,-3.701354746
3385,45480520,HT-29,10.17343391
3385,45480520,LNCaP-Clone-FGC,1.632631585
3385,45480520,LOVO,-8.979213946
3385,45480520,MDA-MB-436,6.899259995
3385,45480520,MSTO-211H,-1.793073865
3385,45480520,NCI-H1650,-5.996370297
3385,45480520,NCI-H2122,7.890256814
3385,45480520,NCI-H23,-5.042652306
3385,45480520,NCI-H520,3.698834848
3385,45480520,OCUB-M,3.932148453
3385,45480520,OV-90,-10.06884761
3385,45480520,OVCAR-3,17.63703287
3385,45480520,PA-1,5.686488451
3385,45480520,RKO,-2.677587786
3385,45480520,RPMI-7951,-2.17322193
3385,45480520,SK-MEL-30,-36.45922958
3385,45480520,SK-MES-1,-0.086424579
3385,45480520,SK-OV-3,5.077177384
3385,45480520,SW620,0.108107719
3385,45480520,SW837,-14.52310863
3385,45480520,T47D,17.48579545
3385,45480520,UACC-62,-1.583963783
3385,45480520,VCAP,1.096102762
3385,24856436,A2058,13.05268744
3385,24856436,A2780,11.27727295
3385,24856436,A375,2.705127546
3385,24856436,A427,7.494061098
3385,24856436,COLO-320-HSR,9.398684596
3385,24856436,EFM-192A,2.924820756
3385,24856436,ES-2,10.05752609
3385,24856436,HCT-116,13.96127138
3385,24856436,HT-144,6.065389002
3385,24856436,HT-29,-2.712205241
3385,24856436,LNCaP-Clone-FGC,9.970389407
3385,24856436,LOVO,-4.001507328
3385,24856436,MDA-MB-436,23.3811342
3385,24856436,MSTO-211H,-32.99061919
3385,24856436,NCI-H1650,10.77339767
3385,24856436,NCI-H2122,4.317888565
3385,24856436,NCI-H23,-7.115899185
3385,24856436,NCI-H520,2.57870858
3385,24856436,OCUB-M,33.59292588
3385,24856436,OV-90,-3.193651947
3385,24856436,OVCAR-3,12.23369196
3385,24856436,PA-1,25.07262477
3385,24856436,RKO,19.33320151
3385,24856436,RPMI-7951,16.72201512
3385,24856436,SK-MEL-30,2.288718888
3385,24856436,SK-MES-1,33.3532584
3385,24856436,SK-OV-3,18.74496394
3385,24856436,SW620,8.051672533
3385,24856436,SW837,2.577855416
3385,24856436,T47D,10.0383629
3385,24856436,UACC-62,11.45935053
3385,24856436,VCAP,-0.998327533
3385,11977753,A2058,13.6791116
3385,11977753,A2780,3.933223908
3385,11977753,A375,3.290547961
3385,11977753,A427,8.842811226
3385,11977753,COLO-320-HSR,15.62814774
3385,11977753,EFM-192A,9.660318047
3385,11977753,ES-2,2.477429029
3385,11977753,HCT-116,2.74578436
3385,11977753,HT-144,2.323089789
3385,11977753,HT-29,11.89580272
3385,11977753,LNCaP-Clone-FGC,55.29129934
3385,11977753,LOVO,0.049724345
3385,11977753,MDA-MB-436,18.97429236
3385,11977753,MSTO-211H,-8.321116212
3385,11977753,NCI-H1650,17.63815521
3385,11977753,NCI-H2122,7.697273484
3385,11977753,NCI-H23,4.990219711
3385,11977753,NCI-H520,16.72179723
3385,11977753,OCUB-M,16.38805559
